P,S,T,
M,a,x, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,e,a,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
M,i,n, ,T,e,m,p,e,r,a,t,u,r,e,F,
8,7,V,A,
1948-9-15,84,68,53,
1948-9-16,76,66,55,
1948-9-17,79,68,58,
1948-9-18,80,70,60,
1948-9-19,86,77,68,
1948-9-20,78,72,67,
1948-9-21,87,78,68,
1948-9-22,71,62,53,
1948-9-23,60,56,51,
1948-9-24,69,60,50,
1948-9-25,63,56,49,
1948-9-26,63,54,46,
1948-9-27,70,59,48,
1948-9-28,74,64,53,
1948-9-29,70,62,54,
1948-9-30,65,60,56,
1948-10-1,79,69,59,
1948-10-2,79,70,60,
1948-10-3,76,66,56,
1948-10-4,68,57,46,
1948-10-5,55,49,43,
1948-10-6,49,47,45,
1948-10-7,54,51,48,
1948-10-8,63,58,53,
1948-10-9,68,58,47,
1948-10-10,68,58,49,
1948-10-11,75,65,55,
1948-10-12,67,58,50,
1948-10-13,69,57,45,
1948-10-14,65,56,46,
1948-10-15,61,52,44,
1948-10-16,64,54,43,
1948-10-17,70,59,48,
1948-10-18,77,56,36,
1948-10-19,50,40,30,
1948-10-20,57,48,40,
1948-10-21,55,46,36,
1948-10-22,57,48,38,
1948-10-23,51,47,43,
1948-10-24,57,52,48,
1948-10-25,62,54,47,
1948-10-26,65,58,50,
1948-10-27,70,60,50,
1948-10-28,72,56,40,
1948-10-29,69,58,46,
1948-10-30,71,55,39,
1948-10-31,72,58,45,
1948-11-1,66,58,49,
1948-11-2,71,62,52,
1948-11-3,53,49,45,
1948-11-4,57,51,45,
1948-11-5,66,60,53,
1948-11-6,71,64,56,
1948-11-7,75,63,51,
1948-11-8,65,54,43,
1948-11-9,63,54,44,
1948-11-10,57,52,46,
1948-11-11,70,53,36,
1948-11-12,57,48,38,
1948-11-13,56,49,42,
1948-11-14,62,48,35,
1948-11-15,54,46,39,
1948-11-16,66,52,39,
1948-11-17,60,52,45,
1948-11-18,67,50,34,
1948-11-19,65,54,44,
1948-11-20,66,56,45,
1948-11-21,68,55,42,
1948-11-22,63,54,44,
1948-11-23,49,47,45,
1948-11-24,55,45,35,
1948-11-25,45,40,35,
1948-11-26,56,46,35,
1948-11-27,56,48,40,
1948-11-28,65,52,39,
1948-11-29,41,36,32,
1948-11-30,42,38,35,
1948-12-1,48,40,31,
1948-12-2,55,44,32,
1948-12-3,46,41,36,
1948-12-4,54,48,41,
1948-12-5,63,52,42,
1948-12-6,54,50,45,
1948-12-7,62,51,40,
1948-12-8,56,48,41,
1948-12-9,52,41,30,
1948-12-10,37,34,31,
1948-12-11,43,33,23,
1948-12-12,44,35,26,
1948-12-13,53,48,42,
1948-12-14,71,61,51,
1948-12-15,71,54,37,
1948-12-16,37,36,34,
1948-12-17,44,40,35,
1948-12-18,56,43,30,
1948-12-19,43,36,29,
1948-12-20,36,32,29,
1948-12-21,41,36,30,
1948-12-22,56,44,33,
1948-12-23,58,48,37,
1948-12-24,46,38,30,
1948-12-25,35,30,25,
1948-12-26,33,22,12,
1948-12-27,30,22,13,
1948-12-28,43,32,20,
1948-12-29,51,42,33,
1948-12-30,55,48,41,
1948-12-31,44,38,33,
1949-1-1,41,36,32,
1949-1-2,46,35,24,
1949-1-3,40,34,27,
1949-1-4,51,40,30,
1949-1-5,40,36,31,
1949-1-6,53,45,37,
1949-1-7,52,43,34,
1949-1-8,60,52,43,
1949-1-9,63,55,47,
1949-1-10,62,54,46,
1949-1-11,67,54,42,
1949-1-12,43,37,31,
1949-1-13,40,36,32,
1949-1-14,52,44,35,
1949-1-15,60,46,32,
1949-1-16,45,40,34,
1949-1-17,67,54,40,
1949-1-18,58,50,42,
1949-1-19,54,47,40,
1949-1-20,65,47,29,
1949-1-21,41,33,25,
1949-1-22,42,34,27,
1949-1-23,65,51,37,
1949-1-24,43,39,35,
1949-1-25,64,53,42,
1949-1-26,62,51,40,
1949-1-27,-99999,-99999,-99999,
1949-1-28,46,42,39,
1949-1-29,72,54,35,
1949-1-30,40,30,20,
1949-1-31,29,24,18,
1949-2-1,42,31,20,
1949-2-2,43,34,25,
1949-2-3,44,33,22,
1949-2-4,45,36,27,
1949-2-5,57,46,34,
1949-2-6,51,42,32,
